C,0,16.35159783
C#,0,17.32391444
D,0,18.35404799
D#,0,19.44543648
E,0,20.60172231
F,0,21.82676446
F#,0,23.12465142
G,0,24.49971475
G#,0,25.9565436
A,0,27.5
A#,0,29.13523509
B,0,30.86770633
C,1,32.70319566
C#,1,34.64782887
D,1,36.70809599
D#,1,38.89087297
E,1,41.20344461
F,1,43.65352893
F#,1,46.24930284
G,1,48.9994295
G#,1,51.9130872
A,1,55
A#,1,58.27047019
B,1,61.73541266
C,2,65.40639133
C#,2,69.29565774
D,2,73.41619198
D#,2,77.78174593
E,2,82.40688923
F,2,87.30705786
F#,2,92.49860568
G,2,97.998859
G#,2,103.8261744
A,2,110
A#,2,116.5409404
B,2,123.4708253
C,3,130.8127827
C#,3,138.5913155
D,3,146.832384
D#,3,155.5634919
E,3,164.8137785
F,3,174.6141157
F#,3,184.9972114
G,3,195.997718
G#,3,207.6523488
A,3,220
A#,3,233.0818808
B,3,246.9416506
C,4,261.6255653
C#,4,277.182631
D,4,293.6647679
D#,4,311.1269837
E,4,329.6275569
F,4,349.2282314
F#,4,369.9944227
G,4,391.995436
G#,4,415.3046976
A,4,440
A#,4,466.1637615
B,4,493.8833013
C,5,523.2511306
C#,5,554.365262
D,5,587.3295358
D#,5,622.2539674
E,5,659.2551138
F,5,698.4564629
F#,5,739.9888454
G,5,783.990872
G#,5,830.6093952
A,5,880
A#,5,932.327523
B,5,987.7666025
C,6,1046.502261
C#,6,1108.730524
D,6,1174.659072
D#,6,1244.507935
E,6,1318.510228
F,6,1396.912926
F#,6,1479.977691
G,6,1567.981744
G#,6,1661.21879
A,6,1760
A#,6,1864.655046
B,6,1975.533205
C,7,2093.004522
C#,7,2217.461048
D,7,2349.318143
D#,7,2489.01587
E,7,2637.020455
F,7,2793.825851
F#,7,2959.955382
G,7,3135.963488
G#,7,3322.437581
A,7,3520
A#,7,3729.310092
B,7,3951.06641
